date,iphone revenue,android revenue
12/14/14,8.47,7.78
12/15/14,8.26,7.73
12/16/14,8.01,7.76
12/17/14,8.3,7.61
12/18/14,9.25,8.46
12/19/14,9.51,8.54
12/20/14,9.84,8.79
12/21/14,9.66,8.81
12/22/14,9.8,9.01
12/23/14,9.59,8.77
12/24/14,9.49,8.84
12/25/14,9.71,9.13
12/26/14,10.13,9.27
12/27/14,10.45,9.24
12/28/14,10.55,9.59
12/29/14,10.69,9.57
12/30/14,10.49,9.41
12/31/14,10.12,8.89
1/1/15,9.7,9.01
1/2/15,9.48,8.73
1/3/15,11.89,10.62
1/4/15,12.66,11.26
1/5/15,12.56,12
1/6/15,12.5,11.71
1/7/15,11.91,11.12
1/8/15,12.15,10.72
1/9/15,12.01,10.6
1/10/15,12.1,10.59
1/11/15,12.56,11.28
1/12/15,12.4,11.48
1/13/15,12.15,11.07
1/14/15,11.19,10.25
1/15/15,11.22,9.77
1/16/15,11.61,10.62
1/17/15,11.57,11.01
1/18/15,12.15,11.17
1/19/15,12.41,11.54
1/20/15,12.21,11.06
1/21/15,12.22,10.44
1/22/15,12.44,10.6
1/23/15,12.88,11.32
1/24/15,11.93,10.24
1/25/15,12.72,11.09
1/26/15,12.79,11.74
1/27/15,12.6,11.6
1/28/15,12.55,11.11
1/29/15,13.01,11.38
1/30/15,13.6,10.99
1/31/15,13.03,10.56
2/1/15,13.14,14.16
2/2/15,13.78,16.4
2/3/15,13.61,17.11
2/4/15,13.45,15.99
2/5/15,15.18,18.42
2/6/15,15.47,18.11
2/7/15,16.76,20.27
2/8/15,18.28,22.36
2/9/15,23.37,28.7
2/10/15,21.76,26.63
